Epoch 117 | loss=0.1345 | val_F1=0.2782 | val_AUPR=0.1921 | time=48.93s
Epoch 118 | loss=0.1304 | val_F1=0.2728 | val_AUPR=0.1933 | time=49.38s
Epoch 119 | loss=0.1473 | val_F1=0.2813 | val_AUPR=0.1975 | time=49.45s
Epoch 120 | loss=0.1290 | val_F1=0.2789 | val_AUPR=0.1971 | time=48.76s
Epoch 121 | loss=0.1286 | val_F1=0.2757 | val_AUPR=0.1958 | time=48.66s
Epoch 122 | loss=0.1393 | val_F1=0.2829 | val_AUPR=0.1986 | time=47.85s
Epoch 123 | loss=0.1376 | val_F1=0.2767 | val_AUPR=0.1978 | time=48.36s
Epoch 124 | loss=0.1360 | val_F1=0.2783 | val_AUPR=0.1981 | time=49.67s
Epoch 125 | loss=0.1349 | val_F1=0.2835 | val_AUPR=0.1998 | time=48.09s
Epoch 126 | loss=0.1270 | val_F1=0.2747 | val_AUPR=0.1990 | time=48.13s
Epoch 127 | loss=0.1287 | val_F1=0.2745 | val_AUPR=0.1979 | time=47.90s
Epoch 128 | loss=0.1418 | val_F1=0.2800 | val_AUPR=0.1992 | time=48.70s
Epoch 129 | loss=0.1323 | val_F1=0.2794 | val_AUPR=0.2014 | time=47.74s
Epoch 130 | loss=0.1288 | val_F1=0.2745 | val_AUPR=0.1952 | time=47.82s
Epoch 131 | loss=0.1337 | val_F1=0.2807 | val_AUPR=0.1990 | time=47.86s
Epoch 132 | loss=0.1323 | val_F1=0.2803 | val_AUPR=0.2021 | time=48.02s
Epoch 133 | loss=0.1281 | val_F1=0.2777 | val_AUPR=0.1990 | time=48.09s
Epoch 134 | loss=0.1331 | val_F1=0.2832 | val_AUPR=0.2011 | time=48.37s
Epoch 135 | loss=0.1286 | val_F1=0.2746 | val_AUPR=0.1963 | time=48.00s
Epoch 136 | loss=0.1284 | val_F1=0.2866 | val_AUPR=0.2013 | time=48.12s
Epoch 137 | loss=0.1361 | val_F1=0.2777 | val_AUPR=0.2005 | time=47.85s
Epoch 138 | loss=0.1311 | val_F1=0.2759 | val_AUPR=0.2009 | time=47.89s
Epoch 139 | loss=0.1319 | val_F1=0.2796 | val_AUPR=0.2012 | time=47.89s
Epoch 140 | loss=0.1384 | val_F1=0.2857 | val_AUPR=0.2014 | time=47.87s
Epoch 141 | loss=0.1332 | val_F1=0.2837 | val_AUPR=0.2028 | time=49.27s
Epoch 142 | loss=0.1303 | val_F1=0.2810 | val_AUPR=0.2040 | time=49.05s
Epoch 143 | loss=0.1294 | val_F1=0.2818 | val_AUPR=0.2040 | time=49.24s
Epoch 144 | loss=0.1303 | val_F1=0.2848 | val_AUPR=0.2056 | time=48.03s
Epoch 145 | loss=0.1341 | val_F1=0.2897 | val_AUPR=0.2071 | time=48.12s
Epoch 146 | loss=0.1285 | val_F1=0.2817 | val_AUPR=0.2051 | time=47.95s
Epoch 147 | loss=0.1315 | val_F1=0.2875 | val_AUPR=0.2046 | time=48.02s
Epoch 148 | loss=0.1351 | val_F1=0.2820 | val_AUPR=0.2058 | time=48.15s
Epoch 149 | loss=0.1277 | val_F1=0.2861 | val_AUPR=0.2080 | time=47.86s
Epoch 150 | loss=0.1269 | val_F1=0.2825 | val_AUPR=0.2037 | time=48.11s
Epoch 151 | loss=0.1331 | val_F1=0.2700 | val_AUPR=0.1993 | time=47.79s
Epoch 152 | loss=0.1344 | val_F1=0.2850 | val_AUPR=0.2041 | time=47.86s
Epoch 153 | loss=0.1304 | val_F1=0.2770 | val_AUPR=0.2019 | time=48.98s
Epoch 154 | loss=0.1341 | val_F1=0.2856 | val_AUPR=0.2108 | time=49.42s
Epoch 155 | loss=0.1273 | val_F1=0.2765 | val_AUPR=0.2035 | time=48.64s
Epoch 156 | loss=0.1359 | val_F1=0.2797 | val_AUPR=0.2048 | time=47.88s
Epoch 157 | loss=0.1340 | val_F1=0.2780 | val_AUPR=0.2073 | time=48.11s
Epoch 158 | loss=0.1299 | val_F1=0.2846 | val_AUPR=0.2078 | time=47.79s
Epoch 159 | loss=0.1294 | val_F1=0.2851 | val_AUPR=0.2074 | time=48.86s
Epoch 160 | loss=0.1282 | val_F1=0.2867 | val_AUPR=0.2099 | time=48.89s
Epoch 161 | loss=0.1300 | val_F1=0.2889 | val_AUPR=0.2142 | time=48.82s
Epoch 162 | loss=0.1287 | val_F1=0.2873 | val_AUPR=0.2113 | time=49.11s
Epoch 163 | loss=0.1265 | val_F1=0.2883 | val_AUPR=0.2086 | time=49.22s
Epoch 164 | loss=0.1253 | val_F1=0.2922 | val_AUPR=0.2110 | time=47.68s
Epoch 165 | loss=0.1248 | val_F1=0.2841 | val_AUPR=0.2092 | time=48.77s
Epoch 166 | loss=0.1242 | val_F1=0.2846 | val_AUPR=0.2075 | time=47.97s
Epoch 167 | loss=0.1289 | val_F1=0.2848 | val_AUPR=0.2066 | time=49.32s
Epoch 168 | loss=0.1270 | val_F1=0.2830 | val_AUPR=0.2096 | time=48.68s
Epoch 169 | loss=0.1258 | val_F1=0.2900 | val_AUPR=0.2134 | time=48.98s
Epoch 170 | loss=0.1290 | val_F1=0.2961 | val_AUPR=0.2125 | time=49.26s
Epoch 171 | loss=0.1255 | val_F1=0.2830 | val_AUPR=0.2106 | time=47.80s
Epoch 172 | loss=0.1272 | val_F1=0.2938 | val_AUPR=0.2112 | time=48.04s
Epoch 173 | loss=0.1248 | val_F1=0.2888 | val_AUPR=0.2113 | time=48.87s
Epoch 174 | loss=0.1262 | val_F1=0.2916 | val_AUPR=0.2147 | time=49.19s
Epoch 175 | loss=0.1232 | val_F1=0.2870 | val_AUPR=0.2116 | time=49.81s
